,,,,,,,,,,
Afghanistan,2.433,2.4243,2.456,3.45,3.786543,4.45469,4.51115989685059,4.08791017532349,3.12561011314392,4.57746982574463
Albania,3.10655999183655,3.15439009666443,3.10881996154785,3.26868009567261,3.48953,3.43543,3.45425,3.45656,3.66754,3.565443
Andorra,1.92506003379822,2.04658007621765,2.74798989295959,2.5631799697876,3.16329002380371,3.16387009620667,3.06579995155334,3.15889000892639,2.6545774,2.46257996559143
Argentina,3.15653991699219,3.47405004501343,3.65498995780945,3.89634990692139,4.33782005310059,4.8899998664856,4.60776996612549,5.00529003143311,5.13758993148804,5.24893580408
Armenia,2.48673009872437,2.71202993392944,2.71577000617981,3.01893997192383,3.17272996902466,3.84079003334045,3.24900007247925,3.14385008811951,3.27523994445801,2.25014996528625
Aruba,4.40889978408813,4.6807599067688,4.7865766,4.79918003082275,4.91558980941772,5.92467021942139,6.71249008178711,6.03687000274658,6.04539052,6.04982479
Australia,4.834097532,4.91078996658325,4.74287986755371,4.659019947052,4.63338994979858,5.09420013427734,5.5735502243042,5.10608005523682,4.90641021728516,4.983892303
Austria,5.3209400177002,5.27148008346558,5.25293016433716,5.1766300201416,5.2969799041748,5.76739978790283,5.73320007324219,5.61860990524292,5.6344423,5.5430953
Azerbaijan,3.44765996932983,2.97462010383606,2.5555100440979,2.5492799282074,2.44092988967896,3.22430992126465,2.78062009811401,2.43564009666443,2.453525,2.45426252
Bahrain,2.79032084,2.7898397593,2.87436008453369,2.57500004768372,2.49677991867065,2.49830503,2.5795397864,2.3789753495,2.644700050354,2.6784343579
Bangladesh,2.24829006195068,2.3484903053,2.4553599357605,2.20221996307373,2.0545699596405,1.9394199848175,1.984379374,1.88957967,1.84703572,1.99488705
Barbados,5.91065979003906,5.56433010101318,5.394324325,5.10355997085571,5.09792995452881,5.39042997360229,5.88677978515625,5.98968964,5.61038017272949,5.987549389470
Belarus,5.7122597694397,5.8710298538208,6.07696008682251,5.15210008621216,4.8394329591,4.51671981811523,5.4101300239563,4.84382009506226,5.12105989456177,5.27613019943237
Belgium,5.81384992599487,5.77513980865479,5.82776021957397,5.84299993515015,6.27368021011353,6.39844989776611,6.39666986465454,6.36389017105103,6.3244342,6.34352435
Belize,5.29939985275269,5.4322343,5.435432,5.54535,5.68789005279541,6.10014009475708,6.62099981307983,6.643546,6.754643,6.7563452
Benin,3.91553997993469,4.00211000442505,3.82888007164001,3.49798011779785,4.08137989044189,4.55079984664917,5.34238004684448,5.324343542,5.26142978668213,5.01267004013062
Bhutan,6.41799020767212,7.07810020446777,6.345526,5.45256,4.7975001335144,4.62671995162964,4.02446985244751,4.65257978439331,5.3895701304,5.58966016769409
Bolivia,6.3445225,6.552455245,6.3136100769043,6.865763,7.03973007202148,8.08119964599609,7.60011005401611,6.89264011383057,6.4369101524353,6.64334535
Botswana,10.23432445,10.6785898208618,9.54324421,8.85149002075195,8.976577,9.487380027771,9.76576646,10.043070835,10.12332425,10.13244324
Brazil,4.00775003433228,4.52778005599976,4.95275020599365,5.08439016342163,5.40367984771729,5.62146997451782,5.82224988937378,6.06057977676392,6.34657001495361,6.39044083058
Bulgaria,2.34125995635986,4.18854999542236,3.98816990852356,3.7474000453949,4.31127977371216,4.43296003341675,4.01753997802734,3.66866993904114,3.65454354,3.4367538215832
Burundi,3.74496006965637,3.63169002532959,3.987389576,4.654654365,5.19355010986328,6.31978988647461,6.79287004470825,5.99778985977173,5.82090997695923,5.41475009918213
Cambodia,1.71982002258301,1.6675476,1.646754,1.59930002689362,1.76985,2.453455654,2.60387992858887,2.7958376,2.890530567,2.994339593575934
Cameroon,3.32991003990173,3.12322998046875,2.95567989349365,3.36625003814697,2.95686006546021,3.46008992195129,3.31318998336792,3.0529100894928,2.96538996696472,2.89590849076
Canada,4.895396479,4.80466985702515,4.86979659798,4.79736995697021,4.66087007522583,4.87312984466553,5.37116003036499,5.27245998382568,5.290842409,5.294903505085
Central African Republic,1.6245299577713,1.6363799571991,1.40242004394531,1.31289005279541,1.29001998901367,1.30356001853943,1.20455002784729,1.22862005233765,1.43445354,1.23234425
Chad,1.59294998645782,1.69476997852325,1.5654357,1.7576545,2.122189374928,2.31173992156982,1.98194003105164,2.25789999961853,2.243243535,2.2343245
Chile,3.488450050354,3.22508001327515,3.02380990982056,3.22353005409241,3.79267001152039,4.24129009246826,4.18086004257202,4.06528997421265,4.5538501739502,4.54543525442
Colombia,4.07934999465942,3.9950098991394,3.89332008361816,4.05870008468628,3.90980005264282,4.74742984771729,4.82615995407104,4.45980978012085,4.37738990783691,4.92625999450684
Costa Rica,4.89458990097046,4.869758659,4.65441989898682,4.73357009887695,5.5456546547,5.656737657,5.97687447,6.2431524,6.43355345535,6.86644983291626
Croatia,3.82085990905762,3.85968486,4.0551453,4.2701301574707,4.38924980163574,4.25217008590698,4.15794992446899,4.12234324,4.22123434,4.32323434
Cuba,10.2682800292969,10.557689666748,9.05729007720947,11.8682899475098,14.059100151062,13.1251497268677,12.83726978302,11.2344455,12.3245566,11.344255
Cyprus,6.69927978515625,6.92179012298584,7.01648998260498,6.92658996582031,7.39265012741089,7.94083976745605,7.27143001556396,7.2425799369812,7.321321424,6.969699549
Czech Republic,4.02052021026611,3.89868998527527,4.22391986846924,3.875,3.75272989273071,4.18040990829468,4.07352018356323,4.28418016433716,4.2113424,4.1232425
Denmark,8.21187973022461,8.08275032043457,7.7278299331665,7.61377000808716,7.49236011505127,8.48795986175537,8.61798000335693,8.54710006713867,8.454343466,8.544546564
